STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Nagymezo utca 51.,VI,105,3,1993.0,5.0,4.0,,1.0,,,2.0,1,4.0,0.0,0,,street,4.0,0.0,,1.0,,,,
 Szentimrevaros,XI,50,2,565.0,5.0,3.0,,2.0,1.0,5.0,1.0,0,,0.0,0,west,street,3.0,,0.0,,0.0,not allowed,0,
 Falk Miksa utca 13.,V,82,3,1798.0,5.0,,,5.0,1.0,,,1,4.0,0.0,0,,street,8.0,,,1.0,,,,
 Szemere utca,V,93,3,1284.0,5.0,,,5.0,1.0,,,1,,0.0,0,,panoramic,3.0,0.0,,,,,,
 Sas utca,V,30,1,513.0,5.0,3.0,,2.0,,5.0,2.0,0,4.0,0.0,0,,court,0.0,,0.0,1.0,,not allowed,,
 Balassi Balint utca,V,105,3,1797.0,5.0,4.0,,4.0,1.0,,2.0,1,4.0,0.0,0,,panoramic,4.0,,,1.0,,,,
 Budapart ter,XI,35,1,480.0,6.0,3.0,,,1.0,,,1,4.0,106.0,0,west,panoramic,5.0,,,1.0,0.0,not allowed,,
 Nadorliget utca,XI,83,3,755.0,6.0,3.0,,1.0,0.0,3.0,1.0,0,2.0,0.0,0,south-west,garden,6.0,,0.0,1.0,,not allowed,0,
 Baross ter,VII,68,2,785.0,5.0,5.0,,2.0,1.0,,2.0,1,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,,,,
 Budenz ut,II,125,4,1586.0,5.0,4.0,,1.0,1.0,3.0,1.0,1,2.0,0.0,0,,panoramic,8.0,,,1.0,,,1,
 Bognar utca,II,120,4,1481.0,5.0,4.0,,1.0,1.0,2.0,1.0,1,1.0,0.0,0,,garden,10.0,,,,,,1,
 Szechenyi utca,V,70,2,876.0,5.0,3.0,,2.0,1.0,4.0,2.0,1,4.0,0.0,0,,street,0.0,0.0,,1.0,,not allowed,,
 Baross utca,VIII,82,2,498.0,4.0,3.0,,3.0,0.0,3.0,,0,3.0,60.0,0,,court,0.0,0.0,,1.0,0.0,,0,
 Tompa utca,IX,62,2,544.0,4.0,3.0,,1.0,1.0,6.0,1.0,0,4.0,0.0,0,,garden,10.0,0.0,0.0,1.0,0.0,not allowed,0,
 Varosmajor utca 33.,XII,33,1,408.0,5.0,,,3.0,1.0,4.0,,0,,45.0,0,,street,3.0,,,,,,,
 Kresz Geza utca,XIII,80,3,770.0,5.0,4.0,,0.5,,4.0,2.0,1,4.0,0.0,0,south-west,street,0.0,,,1.0,,,0,
 Tatra utca,XIII,100,3,755.0,5.0,3.0,,2.0,1.0,,,1,4.0,181.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Radnoti Miklos utca,XIII,98,3,1269.0,5.0,4.0,15,5.0,1.0,5.0,1.0,1,1.0,45.0,0,south,panoramic,3.0,0.0,0.0,1.0,,not allowed,0,
 Bajcsy-Zsilinszky ut,VI,85,3,1428.0,5.0,5.0,,2.0,1.0,,2.0,1,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Bajcsy-Zsilinszky ut 66.,V,120,4,2069.0,5.0,4.0,,3.0,1.0,,2.0,1,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,,,,
 Baross utca,VIII,94,3,453.0,5.0,3.0,,0.5,1.0,5.0,2.0,0,4.0,63.0,0,south-east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Andrassy ut,VI,110,4,1115.0,5.0,5.0,,0.0,,3.0,,0,4.0,106.0,0,,street,0.0,,0.0,1.0,,not allowed,0,
 Kun utca,VIII,65,1,604.0,5.0,3.0,,4.0,1.0,6.0,1.0,1,4.0,196.0,1,south-east,garden,5.0,0.0,0.0,1.0,0.0,not allowed,0,
 Kiraly utca 104.,VI,53,2,793.0,6.0,3.0,,4.0,1.0,,,1,4.0,0.0,1,,court,10.0,,,1.0,0.0,not allowed,0,
 Szechenyi utca,V,71,2,876.0,5.0,,,2.0,1.0,,,0,2.0,0.0,0,,street,0.0,,,1.0,1.0,,,
 Szechenyi rakpart,V,62,2,2115.0,5.0,5.0,,2.0,1.0,,,1,4.0,0.0,0,west,panoramic,5.0,,,,0.0,not allowed,0,
 Lendvay utca,VI,65,3,867.0,5.0,,,2.0,1.0,,,0,1.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Bajcsy-Zsilinszky ut,VI,75,3,1904.0,,5.0,,,1.0,,,1,,60.0,0,,panoramic,0.0,,,1.0,,,,
 Nepfurdo utca,XIII,54,2,664.0,5.0,5.0,,4.0,1.0,9.0,1.0,1,4.0,0.0,0,,panoramic,12.0,,,1.0,0.0,not allowed,0,
 Meszaros Lorinc utca,XIX,48,2,393.0,5.0,3.0,,1.0,0.0,2.0,1.0,1,4.0,91.0,0,,garden,4.0,1.0,0.0,1.0,0.0,not allowed,1,
 Zichy Jeno utca,VI,36,1,695.0,5.0,,,2.0,0.0,,,1,4.0,0.0,0,,,0.0,,,1.0,0.0,not allowed,,
 Zichy Jeno utca,VI,52,2,906.0,5.0,,,2.0,0.0,,2.0,1,4.0,0.0,0,,street,0.0,,,1.0,0.0,not allowed,,
 Paulay Ede utca,VI,73,3,1565.0,5.0,,,4.0,0.0,,,1,4.0,0.0,0,,street,17.0,,,1.0,0.0,,0,
